task_id,qwen_breaks/3,gpt-5.1_breaks/3,gpt-5.5_breaks/3,sonnet_breaks/3,stopped_at_tier,n_tested,reached_sonnet,sonnet_sellable_candidate,inconclusive_seeds
M151/promo_only_if_total_over,0,,,,qwen,3,False,False,
M158/cancel_sub_only_if_many_left,0,,,,qwen,3,False,False,
M152/cancel_sub_only_if_charge_soon,3,0,,,gpt-5.1,3,False,False,
M161/refund_method_conditional_on_amount,0,,,,qwen,3,False,False,
M154/reorder_only_if_not_already,2,0,,,gpt-5.1,3,False,False,
M163/sub_address_conditional,0,,,,qwen,3,False,False,
M155/email_finance_only_if_over_cap,0,,,,qwen,3,False,False,
M44/cross_tab_constraint,0,,,,qwen,3,False,False,
M156/promo_only_if_total_over_under_load,0,,,,qwen,3,False,False,
M60/stale_gift_address,1,,,,qwen,3,False,False,
M157/cancel_order_only_if_unshipped,0,,,,qwen,3,False,False,
